plot_area,floors,total_area,city,quality,soil,cement_bags,steel_kg,bricks_count,total_cost_inr
4269,5,21345,pune,standard,black,9587,101394,427997,70707953
3624,4,14496,chennai,premium,clay,8129,84006,401978,62003630
7579,4,30316,delhi,luxury,black,23481,218918,952863,183541323
9432,2,18864,chennai,standard,red,7406,60649,375537,58223761
8305,1,8305,ahmedabad,economy,rocky,3090,26039,136737,21487562
7504,3,22512,lucknow,luxury,sandy,14948,159776,719823,95607582
7921,5,39605,kolkata,standard,black,18219,186314,853362,132027920
3339,2,6678,mumbai,luxury,sandy,4624,37012,204854,41972932
5552,3,16656,chennai,luxury,sandy,11473,115489,518729,83478657
4607,2,9214,bangalore,standard,sandy,4107,29759,195741,30977499
917,3,2751,surat,premium,clay,1491,16361,72809,10388860
9367,2,18734,chennai,economy,sandy,6681,53692,334754,50161619
7306,5,36530,mumbai,premium,rocky,19630,210018,973822,182484161
9287,1,9287,pune,economy,sandy,3380,26424,156614,25389914
5986,5,29930,chennai,premium,clay,18151,165053,802169,131674048
1562,5,7810,chennai,standard,black,3606,35196,162292,27187635
4830,3,14490,delhi,premium,clay,8656,84116,377577,70618231
5793,5,28965,ahmedabad,standard,red,11909,118892,606048,77860460
9202,1,9202,hyderabad,luxury,clay,5818,54266,290903,50282500
9935,2,19870,hyderabad,luxury,rocky,14115,112289,607755,108235135
1004,4,4016,mumbai,economy,red,1380,13659,68538,12522434
6690,1,6690,mumbai,standard,red,2836,22574,133206,25413667
1167,5,5835,ahmedabad,standard,clay,2412,26897,113166,17114934
5464,1,5464,hyderabad,luxury,sandy,3734,31027,181495,28173546
3279,5,16395,bangalore,economy,black,6950,60776,280298,53427007
5624,1,5624,pune,economy,black,2010,18306,95169,16585191
7766,1,7766,chennai,luxury,clay,5468,43799,244038,42013456
7745,1,7745,mumbai,premium,rocky,4051,35355,209911,41765467
3919,2,7838,lucknow,standard,sandy,3486,26389,169681,21944494
8401,3,25203,surat,economy,rocky,9943,94982,421019,60776700
7381,2,14762,delhi,standard,sandy,6277,48925,271275,54831999
5615,2,11230,bangalore,economy,rocky,4083,34394,194428,34064330
6471,5,32355,delhi,standard,rocky,13175,137248,600009,121123131
6754,1,6754,kolkata,premium,sandy,3755,28669,171994,25943734
2387,3,7161,delhi,economy,black,2886,27555,115502,23207301
7177,5,35885,pune,economy,rocky,12232,131012,611447,92554675
7740,2,15480,surat,premium,red,8098,68209,396377,52099994
4932,2,9864,hyderabad,economy,red,3383,26858,173051,26069491
9217,2,18434,kolkata,standard,black,8840,65826,369102,62128114
6370,4,25480,delhi,standard,sandy,10235,106288,493882,92120067
1562,1,1562,mumbai,premium,black,861,7518,40043,8333617
8061,3,24183,surat,economy,black,9492,92112,436157,63198749
7391,3,22173,lucknow,economy,rocky,8710,78220,348085,53421107
1376,5,6880,surat,economy,rocky,2444,24894,114188,16416730
4235,1,4235,kolkata,premium,sandy,2404,18579,118016,16594962
6060,2,12120,ahmedabad,standard,sandy,4980,41327,248611,33975537
6783,1,6783,lucknow,standard,rocky,3042,23449,140445,18234949
9593,2,19186,ahmedabad,standard,rocky,8705,65159,396546,54965853
3332,1,3332,ahmedabad,standard,sandy,1439,11127,67629,9380501
5756,2,11512,bangalore,premium,red,6132,50160,297877,48988826
9564,5,47820,bangalore,economy,rocky,18036,181046,741137,144407870
1565,1,1565,delhi,luxury,sandy,1088,8970,54082,8667069
2692,1,2692,kolkata,standard,rocky,1176,9518,50655,8549865
6067,4,24268,mumbai,luxury,sandy,15910,165056,742674,149427701
1450,1,1450,hyderabad,standard,black,682,5389,30203,5124774
7826,4,31304,ahmedabad,luxury,rocky,20535,235692,1058395,145418704
594,3,1782,bangalore,luxury,clay,1299,13135,54337,10103859
6666,2,13332,lucknow,economy,black,5159,41761,242800,33966825
4376,2,8752,mumbai,luxury,black,6239,50765,284756,59535147
3572,3,10716,ahmedabad,premium,rocky,6438,58934,285483,40318015
8470,4,33880,surat,standard,sandy,14183,145742,700381,94020793
7283,3,21849,bangalore,standard,red,7561,87253,432943,72352443
5257,2,10514,delhi,economy,red,3526,27648,197136,30457237
9681,3,29043,ahmedabad,premium,rocky,15141,170275,764273,113248938
1268,3,3804,delhi,standard,clay,1626,14945,74995,14311581
3835,5,19175,kolkata,premium,sandy,9732,102252,476402,77887053
554,4,2216,delhi,premium,rocky,1320,11633,55840,10458563
9019,1,9019,chennai,premium,sandy,4623,40237,232239,37095812
3038,4,12152,hyderabad,economy,rocky,4084,43416,208492,34141940
2698,5,13490,bangalore,luxury,rocky,9478,95676,440786,76531652
7352,4,29408,lucknow,premium,black,17296,175349,750064,115554343
1779,1,1779,delhi,economy,clay,653,5363,30587,5666460
4723,1,4723,delhi,premium,red,2493,18639,116175,21210907
6377,3,19131,hyderabad,standard,black,8931,89646,397162,69049203
5975,1,5975,pune,standard,red,2381,17641,116816,17700939
841,5,4205,surat,premium,sandy,2481,24041,104940,15336781
3469,5,17345,lucknow,standard,black,8185,78049,349491,50606553
4624,5,23120,ahmedabad,premium,clay,12579,136426,578291,94453212
7266,5,36330,ahmedabad,economy,black,13796,142570,680855,96195961
981,1,981,lucknow,standard,rocky,396,3255,20918,2690777
2139,2,4278,surat,premium,sandy,2394,18984,106388,15732522
7509,4,30036,bangalore,economy,clay,11606,115738,492871,91803355
8907,3,26721,ahmedabad,premium,rocky,15610,154253,695850,101842304
7109,1,7109,lucknow,economy,rocky,2569,20955,114805,17687324
890,5,4450,kolkata,economy,sandy,1585,16211,75735,11425217
4997,3,14991,lucknow,premium,red,7298,81260,376423,52954808
630,5,3150,ahmedabad,standard,clay,1478,13992,68146,9495261
8064,2,16128,mumbai,luxury,rocky,10395,90747,530823,103938225
4310,3,12930,kolkata,standard,clay,5682,55944,241993,41355528
4861,1,4861,kolkata,luxury,rocky,3047,26637,158380,24508810
4888,1,4888,mumbai,economy,red,1641,12943,80940,15729052
5305,3,15915,delhi,economy,clay,5907,58344,265399,51258417
4064,2,8128,delhi,economy,black,3252,25811,131271,27354304
2413,1,2413,lucknow,premium,black,1455,11542,62519,9468461
5376,5,26880,surat,economy,clay,9630,101027,450333,67252433
9679,5,48395,surat,premium,red,25803,250138,1212668,169650630
7791,3,23373,chennai,luxury,black,17676,172225,749230,133258107
2662,2,5324,bangalore,luxury,black,4134,31472,171440,33102104
2883,4,11532,mumbai,premium,sandy,6150,61169,303643,57913193
5295,5,26475,lucknow,economy,sandy,9195,96327,478291,61285831
794,2,1588,mumbai,economy,red,532,4205,26573,4961918
5852,2,11704,chennai,economy,clay,4490,34362,204952,33872800
9577,1,9577,pune,standard,sandy,3904,34023,199995,30626021
5626,5,28130,mumbai,standard,sandy,11747,113804,564601,112619245
3344,5,16720,hyderabad,luxury,black,11860,125758,544260,95989541
4679,3,14037,surat,economy,sandy,4731,48351,247622,33706633
3556,1,3556,ahmedabad,luxury,black,2606,21639,115351,17920029
9282,3,27846,delhi,luxury,sandy,18104,192386,885311,154971692
2375,4,9500,surat,standard,red,3884,36865,196769,24264222
1083,3,3249,mumbai,luxury,rocky,2226,21993,114249,20711319
6654,5,33270,surat,economy,clay,11841,124251,565508,80373018
3220,2,6440,ahmedabad,luxury,black,4789,35596,204042,31721164
7232,4,28928,lucknow,standard,black,13918,135274,580915,85226636
2395,3,7185,bangalore,premium,red,4074,37763,189748,30921837
3889,4,15556,kolkata,premium,clay,9857,92109,402824,65871407
7794,1,7794,lucknow,standard,sandy,3379,27419,154020,21993461
1766,2,3532,bangalore,premium,clay,2078,16344,89763,16468778
8479,2,16958,pune,standard,sandy,7135,57184,347483,51348262
6736,1,6736,kolkata,luxury,red,4397,35157,211385,31961018
3953,4,15812,ahmedabad,standard,red,7144,64030,315191,42593489
1894,2,3788,pune,economy,clay,1369,10556,63135,10556828
4091,4,16364,kolkata,standard,clay,7283,66980,318067,51604136
5148,4,20592,ahmedabad,premium,red,10340,107963,507014,74211897
8719,2,17438,bangalore,economy,rocky,6757,50137,277996,51997572
1129,2,2258,lucknow,luxury,red,1332,11412,76593,9464825
1075,4,4300,surat,premium,rocky,2475,22588,114962,16278276
2703,4,10812,hyderabad,standard,black,4893,49062,217530,38238113
1558,5,7790,chennai,premium,rocky,4416,42574,195401,34278382
2789,3,8367,delhi,economy,black,3282,33107,143081,26908175
9610,4,38440,pune,luxury,rocky,25596,269725,1259601,192384950
7312,5,36560,pune,premium,black,21750,218453,975976,159247311
802,1,802,ahmedabad,economy,clay,283,2447,13039,2101538
8625,4,34500,delhi,standard,red,13569,138853,673320,116670650
3673,4,14692,pune,premium,black,9102,89532,401699,64325544
1867,1,1867,chennai,premium,red,908,7383,46823,7597482
6092,1,6092,mumbai,luxury,red,3839,31158,185676,36544749
7617,2,15234,delhi,standard,red,6392,48273,274219,54232542
1677,1,1677,chennai,standard,rocky,719,5511,34911,5258311
7070,5,35350,chennai,premium,sandy,19057,195281,912155,148115802
6512,4,26048,chennai,luxury,sandy,17554,179084,805898,133291686
7287,2,14574,surat,standard,sandy,5955,49723,302543,39939652
9136,2,18272,ahmedabad,luxury,clay,13762,102675,571163,87389938
6784,5,33920,pune,luxury,red,22337,224647,1065339,156321053
6795,1,6795,lucknow,premium,rocky,4020,29692,179747,25014060
7500,2,15000,bangalore,luxury,black,12266,85040,490067,88816679
1749,1,1749,kolkata,economy,red,578,4623,28900,4219153
9341,1,9341,surat,standard,red,3586,31361,199357,24433395
7102,4,28408,bangalore,luxury,black,21620,207367,881833,173680156
8343,3,25029,surat,luxury,red,15498,154303,802019,104291574
4213,4,16852,chennai,luxury,sandy,10562,116044,575710,87449866
8479,5,42395,lucknow,premium,black,27472,256709,1071185,163086126
3874,1,3874,kolkata,luxury,black,2835,22191,120320,21000096
4219,4,16876,bangalore,luxury,rocky,11225,119409,526020,95762942
7049,2,14098,ahmedabad,premium,red,7387,62985,362284,49334856
2908,5,14540,delhi,premium,red,6866,76760,361355,61571964
3767,2,7534,kolkata,standard,sandy,3222,26379,138662,23297441
4607,1,4607,lucknow,standard,black,2275,17504,98679,13718817
3638,4,14552,surat,premium,rocky,8463,82018,367422,56881670
4759,1,4759,pune,standard,rocky,2085,16390,97122,15433300
3029,5,15145,delhi,luxury,red,9640,96727,476651,82983438
9234,4,36936,delhi,economy,clay,13847,137184,594952,113883643
6988,2,13976,delhi,economy,red,4459,37717,230276,39984882
9091,4,36364,mumbai,luxury,clay,23636,263010,1186898,249381859
3802,2,7604,chennai,luxury,rocky,5355,39304,230509,39832444
6640,5,33200,kolkata,standard,sandy,14898,137833,710459,101814067
6507,5,32535,mumbai,economy,rocky,12195,123325,550388,110316398
5092,4,20368,chennai,luxury,rocky,13238,140614,682232,105010653
5339,3,16017,surat,economy,clay,5898,61747,275463,39032377
9116,1,9116,delhi,luxury,rocky,6403,50155,301150,52859424
7951,3,23853,kolkata,standard,sandy,9262,99353,474697,73412019
7840,3,23520,chennai,luxury,clay,18224,166259,741641,126140024
9099,3,27297,ahmedabad,economy,rocky,8803,100793,468425,67984341
5031,3,15093,kolkata,premium,clay,8168,81725,412120,62284924
5939,2,11878,pune,premium,clay,6853,54754,298187,49124872
9069,2,18138,lucknow,economy,clay,7277,57198,317544,44204957
9214,2,18428,mumbai,luxury,black,13159,104333,548706,121417530
7628,2,15256,pune,luxury,clay,10621,85208,494194,80337697
5841,1,5841,surat,premium,black,3276,28450,144008,23205077
9289,3,27867,surat,standard,clay,12506,120218,545555,82029873
4582,4,18328,pune,premium,rocky,10416,110963,487307,73088730
2960,4,11840,surat,luxury,rocky,8127,78832,375712,53194904
8533,3,25599,surat,standard,rocky,11456,115386,501440,71502377
5632,1,5632,hyderabad,luxury,black,3982,33806,179352,32446726
3134,3,9402,kolkata,standard,sandy,4289,39014,189729,28911668
2328,5,11640,pune,luxury,rocky,7878,77605,387088,58912338
3792,3,11376,ahmedabad,economy,black,4861,46997,206008,30757091
1093,3,3279,bangalore,economy,sandy,1160,11546,57295,9740589
1367,3,4101,hyderabad,standard,red,1571,16337,83594,12385859
1519,5,7595,mumbai,economy,clay,2651,28391,133505,26922957
3971,5,19855,surat,luxury,rocky,14216,144136,678050,92082278
8686,5,43430,bangalore,economy,sandy,15143,147627,753477,125245586
9395,5,46975,hyderabad,standard,black,21830,213631,831597,167196190
3884,4,15536,pune,economy,clay,5730,56362,263544,43460337
7368,4,29472,lucknow,standard,clay,12349,125966,564229,80277413
8396,5,41980,pune,luxury,red,26160,268559,1348821,193269550
4500,3,13500,kolkata,standard,black,6319,65248,282525,44297908
4459,1,4459,chennai,standard,rocky,2002,14830,90227,14223847
2438,3,7314,surat,economy,clay,2624,27095,122215,17892055
7133,1,7133,kolkata,standard,red,2708,22867,145106,20791650
7066,1,7066,mumbai,standard,black,3044,25957,138785,31494248
4250,4,17000,ahmedabad,premium,clay,9759,97176,441759,67900392
2824,4,11296,lucknow,premium,clay,6500,67762,297491,41400836
2249,4,8996,surat,luxury,black,6742,69364,277649,43882316
4470,4,17880,mumbai,standard,clay,7663,81522,326073,71762414
6046,3,18138,chennai,premium,sandy,9959,94760,488927,74161971
9176,5,45880,ahmedabad,premium,red,24770,237203,1134709,162254935
4025,4,16100,delhi,premium,sandy,9137,87188,419057,72888167
3700,5,18500,chennai,luxury,sandy,12551,125219,604344,94369845
9266,5,46330,kolkata,economy,rocky,16227,176114,760455,123165514
8504,1,8504,bangalore,economy,clay,3272,25692,145692,25785324
764,4,3056,pune,standard,sandy,1301,13117,58407,9288035
9846,4,39384,lucknow,luxury,rocky,26407,285624,1272850,176788881
5933,3,17799,surat,premium,red,9207,95956,463476,61367773
9415,5,47075,delhi,standard,sandy,19312,198908,952168,167384221
6644,3,19932,hyderabad,standard,red,7735,76827,421887,61250582
6615,4,26460,mumbai,premium,red,14195,142172,699237,127548522
7918,3,23754,kolkata,premium,sandy,11957,124140,603465,90756729
6161,3,18483,hyderabad,economy,red,6156,62715,321008,49644443
5575,5,27875,kolkata,standard,red,11645,109738,572204,79521175
4993,5,24965,hyderabad,luxury,red,14471,158355,747547,125959027
540,4,2160,hyderabad,luxury,black,1665,16713,68831,12298845
2979,4,11916,bangalore,premium,black,7788,73094,299800,57349345
8351,1,8351,chennai,economy,red,2876,23152,145676,22708949
1947,4,7788,pune,luxury,red,4738,49142,263492,36485379
2346,4,9384,hyderabad,standard,clay,4577,41071,188604,32404565
9802,1,9802,delhi,economy,rocky,3489,28762,163772,30205818
8116,1,8116,mumbai,premium,sandy,4145,32652,219141,43229280
1825,1,1825,ahmedabad,premium,clay,1027,8162,48055,7272745
5982,1,5982,surat,luxury,rocky,4310,32507,199373,27388317
682,1,682,kolkata,economy,sandy,242,1913,12280,1725142
6632,5,33160,mumbai,economy,black,13059,127264,547748,121602255
1489,1,1489,hyderabad,standard,rocky,636,4993,29623,5000887
8422,1,8422,kolkata,standard,rocky,3439,30338,167775,26160168
5158,1,5158,surat,premium,clay,3017,22841,135234,20167466
886,2,1772,mumbai,economy,clay,658,5002,29462,6184774
9928,1,9928,surat,premium,red,5119,40497,255072,34877258
4000,1,4000,chennai,standard,black,1710,14925,77027,13363375
3743,1,3743,kolkata,luxury,sandy,2284,20829,127372,18360560
4500,2,9000,ahmedabad,luxury,rocky,6095,49959,290622,40421947
1413,4,5652,bangalore,premium,sandy,2826,30113,152623,26011285
1429,4,5716,ahmedabad,luxury,red,3663,37041,169981,24100861
2809,3,8427,chennai,standard,black,3858,39030,170155,29953932
6639,1,6639,mumbai,economy,rocky,2306,19695,124749,21888435
9056,5,45280,kolkata,premium,sandy,23408,240750,1117876,174621424
8991,3,26973,kolkata,luxury,sandy,18391,174825,845117,131751265
7152,1,7152,bangalore,luxury,black,5553,44585,217608,43406472
3067,4,12268,chennai,economy,rocky,4161,45373,210774,35401280
3711,5,18555,pune,premium,clay,10699,104877,472327,78056702
1382,3,4146,lucknow,luxury,clay,3083,29142,123262,19271374
7769,3,23307,mumbai,standard,sandy,8743,107103,485830,91591092
4302,2,8604,bangalore,premium,clay,4895,41014,214547,39545485
8242,3,24726,chennai,economy,rocky,9967,90136,436347,70430217
6429,5,32145,delhi,economy,sandy,12022,116524,562314,98666946
6644,5,33220,ahmedabad,luxury,rocky,23497,232964,1077887,157885772
3675,1,3675,delhi,standard,clay,1562,12879,71170,13675914
687,5,3435,delhi,economy,rocky,1216,12740,57289,10868819
7855,2,15710,delhi,standard,rocky,6412,55330,310692,58942088
1738,3,5214,pune,economy,rocky,1931,19836,87196,13701586
9996,1,9996,kolkata,premium,black,6515,49598,262075,42541603
7055,4,28220,chennai,luxury,clay,20256,195635,902116,145454453
5445,2,10890,surat,luxury,red,6751,55782,361793,45134453
9509,1,9509,pune,economy,clay,3403,29411,159887,25767814
4732,3,14196,delhi,luxury,clay,10125,100520,469733,84815137
6591,3,19773,chennai,economy,black,7761,76025,324814,59161869
4296,5,21480,chennai,economy,clay,8187,78397,397894,60474083
1816,2,3632,mumbai,economy,clay,1353,11229,62455,12442184
8918,4,35672,surat,luxury,red,23081,219218,1215546,149087038
4924,3,14772,pune,luxury,red,9760,96684,470842,68978103
9467,4,37868,delhi,premium,clay,21288,229371,952739,184899729
734,3,2202,surat,economy,black,821,8635,35813,5783031
3673,2,7346,pune,economy,clay,2629,22767,123608,20400298
9431,2,18862,lucknow,standard,red,7942,59048,379062,50092394
3245,4,12980,pune,economy,black,5245,51652,217535,36924806
4563,5,22815,surat,economy,black,9201,85924,415332,61155828
7016,4,28064,kolkata,luxury,sandy,19490,192420,816379,133010857
9335,3,28005,surat,economy,black,10610,117407,479371,71765453
9207,2,18414,ahmedabad,economy,rocky,7480,54795,323556,47695798
777,1,777,mumbai,premium,black,455,3681,21237,4376453
7968,3,23904,chennai,luxury,clay,18158,163159,740118,124515127
7207,4,28828,surat,premium,red,15825,154915,749383,100657578
2795,1,2795,delhi,standard,sandy,1132,9743,57363,10026782
7089,2,14178,lucknow,standard,rocky,6825,46710,282906,40330438
992,3,2976,mumbai,economy,sandy,1086,10742,50689,9962236
5758,5,28790,surat,standard,sandy,11786,118840,588125,81171395
1796,3,5388,chennai,luxury,black,3947,40133,175227,30416965
7476,3,22428,kolkata,economy,sandy,8129,82601,388343,58177881
8655,4,34620,lucknow,premium,sandy,18959,181521,878246,123584432
4944,3,14832,lucknow,luxury,red,9489,96676,419538,63577283
9671,4,38684,chennai,standard,sandy,16178,159195,797906,119765886
8807,5,44035,hyderabad,economy,sandy,16605,155914,763182,123635101
2413,1,2413,mumbai,standard,black,1049,9068,51509,10230460
3371,3,10113,chennai,premium,clay,5551,59508,271134,43650230
6797,5,33985,chennai,standard,clay,13892,150492,656317,111158249
1114,4,4456,surat,premium,clay,2635,25208,111669,16824075
4107,2,8214,hyderabad,premium,black,4938,40536,208670,36858252
1080,5,5400,surat,economy,rocky,2051,18306,89113,12843475
4807,3,14421,bangalore,standard,clay,6731,65014,285515,52983519
8997,5,44985,surat,luxury,sandy,29297,298887,1360246,198039433
5641,5,28205,pune,economy,red,8971,90720,482040,68110986
9668,3,29004,lucknow,standard,red,11877,115506,558628,75207667
3300,1,3300,surat,premium,clay,1883,15304,84582,12387319
2414,1,2414,kolkata,standard,rocky,1020,8512,47244,7576424
5760,4,23040,hyderabad,economy,sandy,8353,81145,380566,66244562
4787,1,4787,mumbai,premium,black,2927,22533,120914,27435681
5446,3,16338,hyderabad,premium,black,10295,98765,427026,74477185
3472,3,10416,pune,economy,red,3863,35456,175386,26205240
2355,3,7065,bangalore,luxury,sandy,4792,47804,235612,39922776
3593,3,10779,surat,economy,sandy,3589,39268,180367,25230559
5631,5,28155,chennai,premium,clay,14878,166422,713604,125983854
6761,3,20283,mumbai,standard,black,10176,91461,398646,86626740
3106,4,12424,mumbai,economy,clay,4906,48484,208168,42134952
6441,5,32205,ahmedabad,luxury,rocky,22732,221478,1047251,150906868
1017,2,2034,chennai,luxury,red,1359,10737,60281,9696680
7662,3,22986,lucknow,standard,red,9535,95708,494139,59791331
8845,3,26535,kolkata,premium,sandy,14092,143700,736091,106925023
3349,3,10047,pune,premium,sandy,5812,56524,244765,41122257
4695,3,14085,delhi,economy,clay,5413,53216,243187,43639607
9301,1,9301,mumbai,economy,rocky,3153,27744,161735,31774202
2593,2,5186,pune,luxury,red,3601,26541,170784,24270414
1864,1,1864,hyderabad,economy,sandy,723,5544,30050,5236794
9060,5,45300,kolkata,premium,clay,25006,252349,1258126,185119195
1837,1,1837,delhi,standard,black,833,6941,34054,7183237
2493,1,2493,kolkata,luxury,sandy,1611,13417,81956,11990782
8286,1,8286,kolkata,economy,clay,3224,24591,147099,22559437
3317,5,16585,lucknow,premium,sandy,8781,95225,465577,57422660
6168,4,24672,delhi,standard,sandy,9693,104950,460584,91050614
5470,4,21880,mumbai,premium,sandy,12991,115815,552968,110185654
5603,5,28015,chennai,economy,black,11396,111334,502152,82742221
695,4,2780,ahmedabad,standard,red,1036,10678,56671,7627501
3091,5,15455,hyderabad,standard,black,6608,69428,299968,53980629
7472,1,7472,pune,premium,rocky,3902,33584,197517,31407768
6719,3,20157,surat,premium,red,10729,101903,535727,68036364
2147,5,10735,mumbai,premium,rocky,6322,61948,265202,56219748
4884,1,4884,lucknow,premium,black,2806,23163,127521,18234364
7678,3,23034,pune,premium,clay,13345,131905,634771,95995463
4052,3,12156,bangalore,standard,black,5591,53741,252992,45436444
4688,5,23440,mumbai,economy,rocky,8221,85017,382607,81219876
5626,2,11252,mumbai,premium,rocky,6488,52576,297453,59879637
7874,5,39370,chennai,premium,black,23873,247853,1038855,180084146
7273,1,7273,kolkata,standard,rocky,3194,24911,144935,23044880
4264,1,4264,ahmedabad,standard,sandy,1710,14037,85189,12008166
6828,4,27312,hyderabad,economy,red,9196,91012,458829,74023932
6579,5,32895,lucknow,economy,sandy,11370,113243,545249,75349130
6126,4,24504,hyderabad,premium,black,15079,145640,665394,112826505
9971,1,9971,surat,luxury,clay,7056,55181,337392,44365969
3939,5,19695,kolkata,luxury,black,14980,140963,670021,101892069
3442,4,13768,pune,economy,black,5436,54335,249971,40470111
9495,2,18990,chennai,economy,black,7147,56370,312434,58053230
1115,3,3345,surat,luxury,rocky,2269,22145,107106,15564412
3778,1,3778,lucknow,standard,black,1838,13727,78909,11325530
883,1,883,bangalore,standard,sandy,344,3065,17082,2991155
1422,4,5688,kolkata,standard,black,2753,26586,117002,19091629
5433,4,21732,lucknow,economy,clay,7717,76492,374611,50704701
3691,2,7382,pune,economy,sandy,2862,21148,135015,19115836
6533,2,13066,ahmedabad,premium,red,6554,54558,355497,45351490
7123,5,35615,lucknow,premium,rocky,22451,192955,886118,125821178
3350,4,13400,chennai,premium,sandy,6938,75607,348889,54299791
8109,3,24327,bangalore,luxury,rocky,17024,173420,782975,137358659
4978,3,14934,delhi,standard,rocky,6014,63444,307086,55076926
6241,2,12482,kolkata,luxury,rocky,8406,73617,394614,58378056
5732,2,11464,hyderabad,standard,red,4735,36691,225266,36349454
7337,2,14674,ahmedabad,premium,sandy,8012,61640,398508,55533100
3005,3,9015,mumbai,luxury,clay,5922,62724,289554,58486453
5249,2,10498,hyderabad,standard,red,4525,34454,213444,32898319
7889,3,23667,ahmedabad,standard,rocky,10347,98710,480654,69087130
8635,4,34540,ahmedabad,premium,clay,19683,194891,905045,132017470
7082,3,21246,kolkata,luxury,rocky,15575,144634,663467,104206420
964,1,964,ahmedabad,premium,rocky,536,4268,25407,3695940
9616,3,28848,delhi,standard,clay,12632,122086,574384,106352769
3655,3,10965,chennai,standard,red,4372,44490,226971,32857129
8801,5,44005,ahmedabad,luxury,black,31140,311283,1382468,220547780
2648,2,5296,pune,luxury,black,4069,30827,156469,28602095
2511,5,12555,pune,standard,sandy,5230,54369,250690,38956897
6824,2,13648,surat,standard,rocky,6081,44281,274859,38176672
3603,1,3603,ahmedabad,luxury,black,2645,20320,115054,18605740
3609,3,10827,kolkata,economy,sandy,3806,38933,178803,28720515
3035,5,15175,mumbai,economy,rocky,6054,55846,269301,51945362
4905,4,19620,kolkata,luxury,red,12005,129191,633681,89855341
2166,5,10830,pune,standard,rocky,5043,49641,227397,34047098
4982,3,14946,mumbai,premium,rocky,8170,85155,371462,79252539
5320,2,10640,hyderabad,premium,clay,6248,50483,269587,47676309
4468,5,22340,mumbai,luxury,black,16559,167257,736102,156219030
1386,2,2772,pune,standard,red,1128,8915,58681,8018419
3328,3,9984,chennai,standard,rocky,4341,42603,205281,31998397
3261,4,13044,chennai,premium,clay,7730,73596,347951,57488092
4291,1,4291,mumbai,economy,red,1348,11934,71732,13282872
3803,2,7606,bangalore,premium,sandy,3912,33826,206676,34029346
9115,2,18230,pune,economy,rocky,6726,55634,300999,50002354
7499,1,7499,chennai,premium,black,4597,36085,200394,33041227
1551,2,3102,pune,premium,rocky,1770,14159,77546,12570173
2605,5,13025,hyderabad,standard,red,5438,54401,254206,40256953
5391,1,5391,lucknow,standard,red,2225,17152,109217,13568451
7115,5,35575,surat,premium,black,19876,218187,904396,138220895
5814,2,11628,mumbai,premium,sandy,6550,49088,281680,57302316
2898,2,5796,hyderabad,luxury,clay,4312,31559,179355,31288451
5265,3,15795,lucknow,economy,red,5431,54113,267907,33683980
2841,5,14205,lucknow,standard,clay,6492,65074,263581,41357238
3172,3,9516,kolkata,luxury,sandy,7005,65501,301872,46752200
4940,4,19760,mumbai,luxury,sandy,13197,133159,603733,129657344
5038,5,25190,pune,economy,rocky,9318,90612,435481,70911392
5439,2,10878,ahmedabad,premium,rocky,5968,46635,274932,42077916
7186,4,28744,surat,luxury,red,16997,182670,867694,123233756
7337,2,14674,chennai,premium,red,7444,61813,382755,57184231
9348,1,9348,pune,premium,rocky,5642,42548,236101,39331959
