prompt,category,style,location,image_url
"photorealistic architectural design Tropical Minimal style for a Dubai project, high detail, professional rendering",architectural,Tropical Minimal,Dubai,/images/modern-villa-project.jpg
"photorealistic interior design Neo-classical style for a New York project, high detail, professional rendering",interior,Neo-classical,New York,/images/interior-design-3d-walkthrough.jpg
"photorealistic exterior design Mediterranean style for a New York project, high detail, professional rendering",exterior,Mediterranean,New York,/images/modern-villa-project.jpg
"photorealistic plumbing design Mediterranean style for a Tokyo project, high detail, professional rendering",plumbing,Mediterranean,Tokyo,/images/plumbing-system-diagram-water-supply-drainage-pipe.jpg
"photorealistic exterior design Industrial Loft style for a New York project, high detail, professional rendering",exterior,Industrial Loft,New York,/images/garden-landscape-project.jpg
"photorealistic structural design Tropical Minimal style for a New York project, high detail, professional rendering",structural,Tropical Minimal,New York,/images/structural-engineering-simulation-3d.jpg
"photorealistic interior design Industrial Loft style for a London project, high detail, professional rendering",interior,Industrial Loft,London,/images/modern-minimalist-design.jpg
"photorealistic interior design Industrial Loft style for a London project, high detail, professional rendering",interior,Industrial Loft,London,/images/interior-design-3d-walkthrough.jpg
"photorealistic interior design Industrial Loft style for a New York project, high detail, professional rendering",interior,Industrial Loft,New York,/images/interior-design-3d-walkthrough.jpg
"photorealistic interior design Modern Scandinavian style for a Sydney project, high detail, professional rendering",interior,Modern Scandinavian,Sydney,/images/modern-minimalist-design.jpg
"photorealistic architectural design Neo-classical style for a Mumbai project, high detail, professional rendering",architectural,Neo-classical,Mumbai,/images/modern-villa-project.jpg
"photorealistic plumbing design Industrial Loft style for a New York project, high detail, professional rendering",plumbing,Industrial Loft,New York,/images/plumbing-system-diagram-water-supply-drainage-pipe.jpg
"photorealistic exterior design Mediterranean style for a Mumbai project, high detail, professional rendering",exterior,Mediterranean,Mumbai,/images/modern-villa-project.jpg
"photorealistic plumbing design Mediterranean style for a London project, high detail, professional rendering",plumbing,Mediterranean,London,/images/electrical-plumbing-hvac-installation.jpg
"photorealistic plumbing design Mediterranean style for a New York project, high detail, professional rendering",plumbing,Mediterranean,New York,/images/electrical-plumbing-hvac-installation.jpg
"photorealistic plumbing design Tropical Minimal style for a London project, high detail, professional rendering",plumbing,Tropical Minimal,London,/images/electrical-plumbing-hvac-installation.jpg
"photorealistic electrical design Industrial Loft style for a Mumbai project, high detail, professional rendering",electrical,Industrial Loft,Mumbai,/images/structural-engineering-simulation-3d.jpg
"photorealistic structural design Tropical Minimal style for a Tokyo project, high detail, professional rendering",structural,Tropical Minimal,Tokyo,/images/building-foundation-concrete-construction.jpg
"photorealistic structural design Contemporary style for a Tokyo project, high detail, professional rendering",structural,Contemporary,Tokyo,/images/structural-engineering-simulation-3d.jpg
"photorealistic exterior design Industrial Loft style for a New York project, high detail, professional rendering",exterior,Industrial Loft,New York,/images/garden-landscape-project.jpg
"photorealistic plumbing design Contemporary style for a Dubai project, high detail, professional rendering",plumbing,Contemporary,Dubai,/images/electrical-plumbing-hvac-installation.jpg
"photorealistic interior design Industrial Loft style for a Sydney project, high detail, professional rendering",interior,Industrial Loft,Sydney,/images/interior-design-3d-walkthrough.jpg
"photorealistic interior design Modern Scandinavian style for a Mumbai project, high detail, professional rendering",interior,Modern Scandinavian,Mumbai,/images/interior-design-3d-walkthrough.jpg
"photorealistic exterior design Contemporary style for a Dubai project, high detail, professional rendering",exterior,Contemporary,Dubai,/images/garden-landscape-project.jpg
"photorealistic electrical design Tropical Minimal style for a Sydney project, high detail, professional rendering",electrical,Tropical Minimal,Sydney,/images/electrical-plumbing-hvac-installation.jpg
"photorealistic interior design Industrial Loft style for a Dubai project, high detail, professional rendering",interior,Industrial Loft,Dubai,/images/interior-design-3d-walkthrough.jpg
"photorealistic architectural design Mediterranean style for a New York project, high detail, professional rendering",architectural,Mediterranean,New York,/images/architectural-floor-plan-blueprint.jpg
"photorealistic plumbing design Neo-classical style for a Dubai project, high detail, professional rendering",plumbing,Neo-classical,Dubai,/images/plumbing-system-diagram-water-supply-drainage-pipe.jpg
"photorealistic plumbing design Industrial Loft style for a Dubai project, high detail, professional rendering",plumbing,Industrial Loft,Dubai,/images/plumbing-system-diagram-water-supply-drainage-pipe.jpg
